,1,2,3,4,5,6,7,Total
INDRAMAYU,0.898734,0.003165,0.063291,0.006329,0.000000,0.022152,0.006329,316
INTAN JAYA,0.972973,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,37
JAKARTA BARAT,0.946429,0.000000,0.000000,0.000000,0.000000,0.053571,0.000000,56
JAKARTA PUSAT,0.704545,0.022727,0.000000,0.159091,0.000000,0.113636,0.000000,44
JAKARTA SELATAN,0.953846,0.000000,0.000000,0.015385,0.000000,0.015385,0.015385,65
JAKARTA TIMUR,0.661538,0.000000,0.246154,0.015385,0.015385,0.030769,0.030769,65
JAKARTA UTARA,0.677419,0.000000,0.258065,0.032258,0.000000,0.032258,0.000000,31
JAMBI,0.564516,0.000000,0.354839,0.048387,0.016129,0.016129,0.000000,62
JAYAPURA,0.754098,0.010929,0.120219,0.010929,0.000000,0.071038,0.032787,183
JAYAWIJAYA,0.887324,0.003521,0.003521,0.049296,0.003521,0.038732,0.014085,284
JEMBER,0.983871,0.000000,0.004032,0.000000,0.000000,0.004032,0.008065,248
JEMBRANA,0.882353,0.000000,0.019608,0.098039,0.000000,0.000000,0.000000,51
JENEPONTO,0.929204,0.000000,0.026549,0.044248,0.000000,0.000000,0.000000,113
JEPARA,0.989691,0.000000,0.000000,0.010309,0.000000,0.000000,0.000000,194
JOMBANG,0.937908,0.003268,0.000000,0.035948,0.000000,0.016340,0.006536,306
KAIMANA,0.965116,0.000000,0.000000,0.023256,0.000000,0.011628,0.000000,86
KAMPAR,0.804082,0.000000,0.024490,0.061224,0.000000,0.057143,0.053061,245
KAPUAS,0.480392,0.019608,0.132353,0.161765,0.014706,0.093137,0.098039,204
KAPUAS HULU,0.904255,0.003546,0.024823,0.060284,0.000000,0.007092,0.000000,282
KARANG ASEM,0.782051,0.012821,0.128205,0.076923,0.000000,0.000000,0.000000,78
KARANGANYAR,0.807910,0.000000,0.056497,0.079096,0.000000,0.056497,0.000000,177
KARAWANG,0.977346,0.000000,0.000000,0.012945,0.003236,0.006472,0.000000,309
KARIMUN,0.962963,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,54
KARO,0.918216,0.000000,0.003717,0.014870,0.000000,0.063197,0.000000,269
KATINGAN,0.913043,0.000000,0.037267,0.037267,0.000000,0.000000,0.012422,161
KAUR,0.748718,0.010256,0.112821,0.041026,0.000000,0.076923,0.010256,195
KAYONG UTARA,0.627907,0.023256,0.209302,0.139535,0.000000,0.000000,0.000000,43
KEBUMEN,0.815217,0.002174,0.102174,0.026087,0.008696,0.036957,0.008696,460
KEDIRI,0.264103,0.010256,0.074359,0.194872,0.002564,0.379487,0.074359,390
KEEROM,0.049180,0.000000,0.163934,0.147541,0.000000,0.573770,0.065574,61
KENDAL,0.559441,0.000000,0.104895,0.104895,0.000000,0.167832,0.062937,286
KENDARI,0.984375,0.000000,0.015625,0.000000,0.000000,0.000000,0.000000,64
