District,School Scoring,,
TEBING TINGGI,493.000000,3.000000,
TEBO,1144.000000,6.000000,
TEGAL,3743.000000,10.000000,
TELUK BINTUNI,340.000000,1.000000,
TELUK WONDAMA,131.000000,1.000000,
TEMANGGUNG,2189.000000,8.000000,
TERNATE,545.000000,3.000000,
TIDORE KEPULAUAN,570.000000,3.000000,
TIMOR TENGAH SELATAN,1883.000000,8.000000,
TIMOR TENGAH UTARA,910.000000,5.000000,
TOBA SAMOSIR,798.000000,4.000000,
TOJO UNA-UNA,716.000000,4.000000,
TOLIKARA,196.000000,1.000000,
TOLI-TOLI,1012.000000,6.000000,
TOMOHON,393.000000,2.000000,
TORAJA UTARA,826.000000,5.000000,
TRENGGALEK,2121.000000,8.000000,
TUAL,246.000000,1.000000,
TUBAN,3073.000000,9.000000,
TULANG BAWANG BARAT,874.000000,5.000000,
TULANGBAWANG,1171.000000,6.000000,
TULUNGAGUNG,2772.000000,9.000000,
WAJO,1568.000000,7.000000,
WAKATOBI,605.000000,3.000000,
WAROPEN,142.000000,1.000000,
WAY KANAN,1460.000000,7.000000,
WONOGIRI,2977.000000,9.000000,
WONOSOBO,2237.000000,8.000000,
YAHUKIMO,242.000000,1.000000,
YALIMO,78.000000,1.000000,
YOGYAKARTA,1457.000000,7.000000,

 
 District,School Scoring,,
Scoring,Min 1,Max 1,
1,5.000000,340.000000,
2,345.000000,459.000000,
3,460.000000,610.000000,
4,611.000000,814.000000,
5,818.000000,974.000000,
6,986.000000,1186.000000,
7,1190.000000,1598.000000,
8,1600.000000,2257.000000,
9,2267.000000,3637.000000,
10,3639.000000,11953.000000,
