,1,2,3,4,5,6,7,Total
MALUKU TENGGARA BARAT,0.959459,0.000000,0.000000,0.000000,0.000000,0.000000,0.040541,74
MAMASA,0.988701,0.000000,0.000000,0.000000,0.000000,0.011299,0.000000,177
MAMBERAMO RAYA,0.974359,0.000000,0.000000,0.000000,0.000000,0.025641,0.000000,39
MAMBERAMO TENGAH,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59
MAMUJU,0.974194,0.000000,0.000000,0.006452,0.000000,0.019355,0.000000,155
MAMUJU UTARA,0.984127,0.000000,0.000000,0.000000,0.000000,0.015873,0.000000,63
MANADO,0.137931,0.034483,0.000000,0.183908,0.011494,0.574713,0.057471,87
MANDAILING NATAL,0.977941,0.002451,0.002451,0.014706,0.000000,0.002451,0.000000,408
MANGGARAI,0.986577,0.000000,0.000000,0.006711,0.000000,0.006711,0.000000,149
MANGGARAI BARAT,0.991736,0.000000,0.000000,0.000000,0.000000,0.008264,0.000000,121
MANGGARAI TIMUR,0.994318,0.000000,0.000000,0.005682,0.000000,0.000000,0.000000,176
MANOKWARI,0.983213,0.002398,0.000000,0.002398,0.000000,0.009592,0.002398,417
MAPPI,0.992701,0.000000,0.000000,0.007299,0.000000,0.000000,0.000000,137
MAROS,0.932039,0.000000,0.000000,0.009709,0.000000,0.058252,0.000000,103
MATARAM,0.140000,0.000000,0.100000,0.460000,0.020000,0.200000,0.080000,50
MAYBRAT,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129
MEDAN,0.066225,0.026490,0.086093,0.364238,0.000000,0.417219,0.039735,151
MELAWI,0.976331,0.005917,0.000000,0.005917,0.000000,0.000000,0.011834,169
MERANGIN,0.981132,0.000000,0.000000,0.018868,0.000000,0.000000,0.000000,212
MERAUKE,0.934524,0.000000,0.000000,0.029762,0.000000,0.017857,0.017857,168
MESUJI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76
METRO,0.545455,0.000000,0.000000,0.227273,0.000000,0.227273,0.000000,22
MIMIKA,0.941176,0.023529,0.000000,0.035294,0.000000,0.000000,0.000000,85
MINAHASA,0.827004,0.000000,0.037975,0.059072,0.000000,0.063291,0.012658,237
MINAHASA SELATAN,0.988235,0.000000,0.000000,0.011765,0.000000,0.000000,0.000000,170
MINAHASA TENGGARA,0.993056,0.000000,0.000000,0.000000,0.000000,0.006944,0.000000,144
MINAHASA UTARA,0.904000,0.000000,0.008000,0.016000,0.000000,0.064000,0.008000,125
MOJOKERTO,0.826087,0.003106,0.074534,0.068323,0.000000,0.021739,0.006211,322
MOROWALI,0.966667,0.004167,0.004167,0.008333,0.000000,0.016667,0.000000,240
MUARA ENIM,0.953988,0.015337,0.000000,0.009202,0.000000,0.021472,0.000000,326
MUARO JAMBI,0.973510,0.000000,0.006623,0.006623,0.000000,0.013245,0.000000,151
MUKOMUKO,0.980263,0.000000,0.000000,0.013158,0.000000,0.006579,0.000000,152
MUNA,0.941423,0.008368,0.004184,0.025105,0.004184,0.016736,0.000000,239
MURUNG RAYA,0.967742,0.024194,0.000000,0.000000,0.000000,0.008065,0.000000,124
MUSI BANYUASIN,0.983051,0.000000,0.000000,0.004237,0.000000,0.012712,0.000000,236
MUSI RAWAS,0.989170,0.000000,0.003610,0.007220,0.000000,0.000000,0.000000,277
NABIRE,0.913580,0.024691,0.000000,0.037037,0.000000,0.024691,0.000000,81
NAGAN RAYA,0.941704,0.000000,0.017937,0.013453,0.004484,0.017937,0.004484,223
NAGEKEO,0.990000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,100
NATUNA,0.986301,0.000000,0.000000,0.000000,0.000000,0.013699,0.000000,73
NDUGA,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32
NGADA,0.951456,0.000000,0.000000,0.000000,0.000000,0.048544,0.000000,103
NGANJUK,0.940141,0.000000,0.010563,0.024648,0.000000,0.024648,0.000000,284
NGAWI,0.963134,0.000000,0.004608,0.018433,0.000000,0.013825,0.000000,217
NIAS,0.991597,0.008403,0.000000,0.000000,0.000000,0.000000,0.000000,119
NIAS BARAT,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110
NIAS SELATAN,0.988764,0.000000,0.000000,0.005618,0.002809,0.002809,0.000000,356
NIAS UTARA,0.991150,0.000000,0.000000,0.000000,0.000000,0.000000,0.008850,113
NUNUKAN,0.966667,0.000000,0.000000,0.020833,0.000000,0.008333,0.004167,240
OGAN ILIR,0.854772,0.000000,0.078838,0.049793,0.000000,0.016598,0.000000,241
OGAN KOMERING ILIR,0.941935,0.000000,0.000000,0.009677,0.000000,0.041935,0.006452,310
OGAN KOMERING ULU,0.896104,0.000000,0.012987,0.045455,0.000000,0.025974,0.019481,154
OGAN KOMERING ULU SELATAN,0.976834,0.000000,0.000000,0.023166,0.000000,0.000000,0.000000,259
OGAN KOMERING ULU TIMUR,0.969595,0.000000,0.003378,0.016892,0.000000,0.010135,0.000000,296
PACITAN,0.947368,0.005848,0.000000,0.017544,0.000000,0.029240,0.000000,171
PADANG,0.317308,0.009615,0.057692,0.192308,0.000000,0.317308,0.105769,104
PADANG LAWAS,0.996711,0.000000,0.000000,0.003289,0.000000,0.000000,0.000000,304
PADANG LAWAS UTARA,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,388
PADANG PANJANG,0.250000,0.000000,0.000000,0.250000,0.000000,0.500000,0.000000,16
PADANGSIDIMPUAN,0.721519,0.000000,0.025316,0.177215,0.012658,0.063291,0.000000,79
PAGAR ALAM,0.857143,0.000000,0.028571,0.114286,0.000000,0.000000,0.000000,35
