,Community,,Social,,Professional,,Recreational,,Government,,
JAKARTA TIMUR,55.000000,7.000000,42.000000,10.000000,16.000000,9.000000,87.000000,6.000000,37.000000,9.000000,
JAKARTA UTARA,80.000000,8.000000,26.000000,9.000000,1.000000,3.000000,16.000000,2.000000,9.000000,4.000000,
JAMBI,13.000000,4.000000,9.000000,6.000000,8.000000,7.000000,98.000000,6.000000,50.000000,10.000000,
JAYAPURA,72.000000,8.000000,24.000000,9.000000,14.000000,9.000000,76.000000,6.000000,43.000000,9.000000,
JAYAWIJAYA,2.000000,1.000000,5.000000,4.000000,2.000000,4.000000,2.000000,1.000000,4.000000,2.000000,
JEMBER,187.000000,9.000000,33.000000,9.000000,14.000000,9.000000,455.000000,10.000000,65.000000,10.000000,
JEMBRANA,135.000000,9.000000,15.000000,7.000000,31.000000,10.000000,498.000000,10.000000,6.000000,3.000000,
JENEPONTO,29.000000,5.000000,22.000000,8.000000,3.000000,5.000000,69.000000,5.000000,35.000000,9.000000,
JEPARA,407.000000,10.000000,30.000000,9.000000,24.000000,9.000000,116.000000,7.000000,30.000000,8.000000,
JOMBANG,350.000000,10.000000,33.000000,9.000000,35.000000,10.000000,213.000000,9.000000,73.000000,10.000000,
KAIMANA,2.000000,1.000000,0.000000,1.000000,1.000000,3.000000,6.000000,1.000000,2.000000,1.000000,
KAMPAR,96.000000,8.000000,18.000000,8.000000,19.000000,9.000000,304.000000,9.000000,14.000000,5.000000,
KAPUAS,9.000000,3.000000,10.000000,6.000000,1.000000,3.000000,34.000000,4.000000,6.000000,3.000000,
KAPUAS HULU,8.000000,3.000000,2.000000,2.000000,4.000000,5.000000,30.000000,3.000000,16.000000,6.000000,
KARANG ASEM,434.000000,10.000000,5.000000,4.000000,4.000000,5.000000,351.000000,9.000000,8.000000,3.000000,
KARANGANYAR,190.000000,9.000000,27.000000,9.000000,28.000000,10.000000,213.000000,9.000000,32.000000,8.000000,
KARAWANG,57.000000,7.000000,17.000000,8.000000,8.000000,7.000000,110.000000,7.000000,49.000000,9.000000,
KARIMUN,80.000000,8.000000,3.000000,3.000000,24.000000,9.000000,51.000000,5.000000,82.000000,10.000000,
KARO,13.000000,4.000000,3.000000,3.000000,3.000000,5.000000,49.000000,5.000000,13.000000,5.000000,
KATINGAN,9.000000,3.000000,1.000000,2.000000,1.000000,3.000000,18.000000,3.000000,14.000000,5.000000,
KAUR,38.000000,6.000000,79.000000,10.000000,8.000000,7.000000,173.000000,8.000000,6.000000,3.000000,
KAYONG UTARA,4.000000,2.000000,0.000000,1.000000,0.000000,1.000000,13.000000,2.000000,3.000000,2.000000,
KEBUMEN,168.000000,9.000000,17.000000,8.000000,9.000000,8.000000,234.000000,9.000000,14.000000,5.000000,
KEDIRI,404.000000,10.000000,53.000000,10.000000,18.000000,9.000000,207.000000,9.000000,39.000000,9.000000,
KEEROM,16.000000,4.000000,2.000000,2.000000,21.000000,9.000000,16.000000,2.000000,3.000000,2.000000,
KENDAL,721.000000,10.000000,97.000000,10.000000,87.000000,10.000000,417.000000,10.000000,37.000000,9.000000,
KENDARI,41.000000,6.000000,21.000000,8.000000,29.000000,10.000000,51.000000,5.000000,18.000000,6.000000,
KEPAHIANG,12.000000,4.000000,2.000000,2.000000,54.000000,10.000000,178.000000,8.000000,11.000000,4.000000,
KEPULAUAN ANAMBAS,1.000000,1.000000,1.000000,2.000000,1.000000,3.000000,68.000000,5.000000,1.000000,1.000000,
KEPULAUAN ARU,16.000000,4.000000,2.000000,2.000000,13.000000,8.000000,24.000000,3.000000,4.000000,2.000000,
KEPULAUAN MENTAWAI,9.000000,3.000000,3.000000,3.000000,2.000000,4.000000,21.000000,3.000000,11.000000,4.000000,
KEPULAUAN MERANTI,30.000000,6.000000,27.000000,9.000000,10.000000,8.000000,176.000000,8.000000,35.000000,9.000000,
KEPULAUAN SANGIHE,28.000000,5.000000,4.000000,4.000000,0.000000,1.000000,30.000000,3.000000,49.000000,9.000000,
KEPULAUAN SERIBU,6.000000,2.000000,0.000000,1.000000,0.000000,1.000000,39.000000,4.000000,0.000000,1.000000,
KEPULAUAN SULA,12.000000,4.000000,2.000000,2.000000,2.000000,4.000000,16.000000,2.000000,11.000000,4.000000,
KEPULAUAN TALAUD,84.000000,8.000000,12.000000,7.000000,0.000000,1.000000,143.000000,8.000000,24.000000,7.000000,
KEPULAUAN YAPEN,3.000000,1.000000,5.000000,4.000000,0.000000,1.000000,3.000000,1.000000,7.000000,3.000000,
KERINCI,34.000000,6.000000,12.000000,7.000000,0.000000,1.000000,487.000000,10.000000,10.000000,4.000000,
KETAPANG,26.000000,5.000000,2.000000,2.000000,1.000000,3.000000,117.000000,7.000000,14.000000,5.000000,
KLATEN,1005.000000,10.000000,53.000000,10.000000,1002.000000,10.000000,525.000000,10.000000,106.000000,10.000000,
KLUNGKUNG,424.000000,10.000000,3.000000,3.000000,16.000000,9.000000,453.000000,10.000000,4.000000,2.000000,
KOLAKA,25.000000,5.000000,6.000000,5.000000,52.000000,10.000000,73.000000,6.000000,8.000000,3.000000,
KOLAKA UTARA,3.000000,1.000000,0.000000,1.000000,0.000000,1.000000,8.000000,2.000000,4.000000,2.000000,
KONAWE,211.000000,9.000000,12.000000,7.000000,12.000000,8.000000,232.000000,9.000000,39.000000,9.000000,
KONAWE SELATAN,31.000000,6.000000,6.000000,5.000000,4.000000,5.000000,171.000000,8.000000,24.000000,7.000000,
KONAWE UTARA,40.000000,6.000000,2.000000,2.000000,2.000000,4.000000,33.000000,4.000000,5.000000,2.000000,
KOTA BARU,8.000000,3.000000,1.000000,2.000000,2.000000,4.000000,101.000000,7.000000,11.000000,4.000000,
KOTAMOBAGU,3.000000,1.000000,1.000000,2.000000,1.000000,3.000000,14.000000,2.000000,9.000000,4.000000,
KOTAWARINGIN BARAT,6.000000,2.000000,9.000000,6.000000,12.000000,8.000000,28.000000,3.000000,11.000000,4.000000,
KOTAWARINGIN TIMUR,16.000000,4.000000,5.000000,4.000000,2.000000,4.000000,40.000000,4.000000,16.000000,6.000000,
KUANTAN SINGINGI,36.000000,6.000000,3.000000,3.000000,5.000000,6.000000,129.000000,7.000000,10.000000,4.000000,
KUBU RAYA,17.000000,4.000000,21.000000,8.000000,2.000000,4.000000,145.000000,8.000000,19.000000,7.000000,
KUDUS,262.000000,9.000000,13.000000,7.000000,10.000000,8.000000,63.000000,5.000000,17.000000,6.000000,
KULON PROGO,153.000000,9.000000,30.000000,9.000000,8.000000,7.000000,626.000000,10.000000,17.000000,6.000000,
KUNINGAN,233.000000,9.000000,20.000000,8.000000,77.000000,10.000000,258.000000,9.000000,62.000000,10.000000,
KUPANG,10.000000,3.000000,39.000000,10.000000,6.000000,6.000000,38.000000,4.000000,23.000000,7.000000,
KUTAI BARAT,6.000000,2.000000,0.000000,1.000000,4.000000,5.000000,89.000000,6.000000,36.000000,9.000000,
KUTAI KARTANEGARA,80.000000,8.000000,15.000000,7.000000,53.000000,10.000000,242.000000,9.000000,78.000000,10.000000,
KUTAI TIMUR,17.000000,4.000000,8.000000,6.000000,7.000000,7.000000,64.000000,5.000000,21.000000,7.000000,
LABUHAN BATU,78.000000,8.000000,13.000000,7.000000,2.000000,4.000000,93.000000,6.000000,55.000000,10.000000,
LABUHAN BATU SELATAN,8.000000,3.000000,0.000000,1.000000,0.000000,1.000000,3.000000,1.000000,1.000000,1.000000,
LABUHAN BATU UTARA,56.000000,7.000000,0.000000,1.000000,3.000000,5.000000,158.000000,8.000000,6.000000,3.000000,
LAHAT,86.000000,8.000000,13.000000,7.000000,9.000000,8.000000,391.000000,10.000000,40.000000,9.000000,
LAMANDAU,8.000000,3.000000,0.000000,1.000000,1.000000,3.000000,23.000000,3.000000,15.000000,5.000000,
LAMONGAN,672.000000,10.000000,28.000000,9.000000,5.000000,6.000000,91.000000,6.000000,27.000000,8.000000,
LAMPUNG BARAT,27.000000,5.000000,15.000000,7.000000,3.000000,5.000000,112.000000,7.000000,9.000000,4.000000,
LAMPUNG SELATAN,78.000000,8.000000,13.000000,7.000000,10.000000,8.000000,186.000000,8.000000,32.000000,8.000000,
LAMPUNG TENGAH,204.000000,9.000000,16.000000,8.000000,24.000000,9.000000,310.000000,9.000000,41.000000,9.000000,
LAMPUNG TIMUR,355.000000,10.000000,22.000000,8.000000,17.000000,9.000000,352.000000,10.000000,47.000000,9.000000,
LAMPUNG UTARA,35.000000,6.000000,26.000000,9.000000,7.000000,7.000000,50.000000,5.000000,24.000000,7.000000,
LANDAK,17.000000,4.000000,2.000000,2.000000,0.000000,1.000000,52.000000,5.000000,6.000000,3.000000,
LANGKAT,89.000000,8.000000,20.000000,8.000000,16.000000,9.000000,139.000000,8.000000,28.000000,8.000000,
LANGSA,13.000000,4.000000,2.000000,2.000000,4.000000,5.000000,30.000000,3.000000,7.000000,3.000000,
LANNY JAYA,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,26.000000,8.000000,
LEBAK,32.000000,6.000000,18.000000,8.000000,13.000000,8.000000,73.000000,6.000000,22.000000,7.000000,
LEBONG,38.000000,6.000000,1.000000,2.000000,1.000000,3.000000,241.000000,9.000000,47.000000,9.000000,
LEMBATA,44.000000,7.000000,2.000000,2.000000,0.000000,1.000000,52.000000,5.000000,3.000000,2.000000,
LHOKSEUMAWE,6.000000,2.000000,7.000000,5.000000,5.000000,6.000000,3.000000,1.000000,6.000000,3.000000,
LINGGA,1.000000,1.000000,4.000000,4.000000,5.000000,6.000000,63.000000,5.000000,16.000000,6.000000,
LOMBOK BARAT,36.000000,6.000000,23.000000,9.000000,0.000000,1.000000,128.000000,7.000000,9.000000,4.000000,
LOMBOK TENGAH,29.000000,5.000000,57.000000,10.000000,0.000000,1.000000,140.000000,8.000000,38.000000,9.000000,
LOMBOK TIMUR,188.000000,9.000000,80.000000,10.000000,16.000000,9.000000,285.000000,9.000000,48.000000,9.000000,
LOMBOK UTARA,25.000000,5.000000,5.000000,4.000000,0.000000,1.000000,61.000000,5.000000,13.000000,5.000000,
LUBUKLINGGAU,10.000000,3.000000,4.000000,4.000000,4.000000,5.000000,19.000000,3.000000,20.000000,7.000000,
LUMAJANG,83.000000,8.000000,13.000000,7.000000,1.000000,3.000000,176.000000,8.000000,10.000000,4.000000,
LUWU,23.000000,5.000000,6.000000,5.000000,2.000000,4.000000,75.000000,6.000000,15.000000,5.000000,
LUWU TIMUR,32.000000,6.000000,6.000000,5.000000,11.000000,8.000000,56.000000,5.000000,17.000000,6.000000,
LUWU UTARA,35.000000,6.000000,3.000000,3.000000,3.000000,5.000000,15.000000,2.000000,12.000000,5.000000,
